(-121.86266, 37.41952)
(-121.86209, 37.41977)
(-121.86138, 37.42011)
(-121.86121, 37.42019)
(-121.86062, 37.42047)
(-121.86016, 37.42069)
(-121.86005, 37.42074)
(-121.86021, 37.42096)
(-121.86039, 37.42118)
(-121.86053, 37.42138)
(-121.86065, 37.42153)
(-121.86083, 37.42176)
(-121.86105, 37.42205)
(-121.86149, 37.42272)
(-121.86167, 37.42299)
(-121.86185, 37.42325)
(-121.86191, 37.42336)
(-121.86194, 37.42342)
(-121.86196, 37.42347)
(-121.86199, 37.42353)
(-121.86202, 37.42358)
(-121.86206, 37.42369)
(-121.86209, 37.42378)
(-121.8621, 37.42385)
(-121.86211, 37.42388)
(-121.86212, 37.42393)
(-121.86212, 37.42398)
(-121.86212, 37.424)
(-121.86212, 37.4241)
(-121.86212, 37.42422)
(-121.86212, 37.42464)
(-121.86213, 37.42477)
(-121.86214, 37.42484)
(-121.86214, 37.42486)
(-121.86215, 37.4249)
(-121.86222, 37.42521)
(-121.86248, 37.42626)
(-121.86266, 37.42691)
(-121.86277, 37.4273)
(-121.86289, 37.42772)
(-121.86295, 37.42781)
(-121.86312, 37.42841)
(-121.8633, 37.42904)
(-121.86349, 37.42968)
(-121.86367, 37.43032)
(-121.86385, 37.43098)
(-121.86405, 37.43166)
(-121.86415, 37.43201)
(-121.86423, 37.43227)
(-121.8643, 37.43254)
(-121.86435, 37.43272)
(-121.86446, 37.43307)
(-121.8645, 37.43317)
(-121.86454, 37.43325)
(-121.86457, 37.43331)
(-121.86459, 37.43336)
(-121.86462, 37.43341)
(-121.86464, 37.43343)
(-121.86468, 37.43349)
(-121.86474, 37.43356)
(-121.86485, 37.43369)
(-121.86486, 37.4337)
(-121.86497, 37.4338)
(-121.86511, 37.43392)
(-121.86523, 37.434)
(-121.86539, 37.4341)
(-121.86548, 37.43415)
(-121.86572, 37.43425)
(-121.86585, 37.43431)
(-121.86594, 37.43434)
(-121.86615, 37.43442)
(-121.86626, 37.43446)
(-121.86684, 37.43466)
(-121.86718, 37.43478)
(-121.86739, 37.43486)
(-121.86758, 37.43492)
(-121.86781, 37.435)
(-121.86799, 37.43506)
(-121.86884, 37.43535)
(-121.86918, 37.43547)
(-121.86954, 37.4356)
(-121.8697, 37.43567)
(-121.86986, 37.43574)
(-121.87004, 37.43584)
(-121.87009, 37.43587)
(-121.87019, 37.43594)
(-121.87031, 37.43603)
(-121.87042, 37.43611)
(-121.87056, 37.43623)
(-121.87062, 37.4363)
(-121.87068, 37.43636)
(-121.87074, 37.43645)
(-121.87081, 37.43654)
(-121.87094, 37.43673)
(-121.87102, 37.43683)
(-121.8711, 37.43692)
(-121.87113, 37.43695)
(-121.8712, 37.437)
(-121.87129, 37.43709)
(-121.87137, 37.43714)
(-121.87143, 37.43719)
(-121.8715, 37.43722)
(-121.87164, 37.4373)
(-121.8717, 37.43732)
(-121.87176, 37.43735)
(-121.87187, 37.4374)
(-121.87201, 37.43747)
(-121.8721, 37.43753)
(-121.87211, 37.43754)
(-121.87219, 37.43759)
(-121.87227, 37.43765)
(-121.87243, 37.43779)
(-121.87251, 37.43789)
(-121.8726, 37.438)
(-121.87265, 37.43808)
(-121.87268, 37.43813)
(-121.87273, 37.43822)
(-121.87345, 37.43799)
(-121.87381, 37.43789)
(-121.8742, 37.4378)
(-121.87524, 37.43758)
(-121.87546, 37.43754)
(-121.876, 37.43743)
(-121.87662, 37.43729)
(-121.87904, 37.43676)
(-121.87953, 37.43666)
(-121.88036, 37.43647)
(-121.88114, 37.43629)
(-121.88166, 37.43618)
(-121.8822, 37.43605)
(-121.88248, 37.43599)
(-121.88257, 37.43602)
(-121.8827, 37.436)
(-121.88338, 37.43586)
(-121.88358, 37.43582)
(-121.88427, 37.43568)
(-121.88434, 37.43567)
(-121.88441, 37.43566)
(-121.88501, 37.43554)
(-121.88524, 37.4355)
(-121.88547, 37.43545)
(-121.88559, 37.43542)
(-121.88596, 37.43534)
(-121.886, 37.43533)
(-121.88615, 37.4353)
(-121.8864, 37.43525)
(-121.88677, 37.43517)
(-121.88731, 37.43505)
(-121.88806, 37.43488)
(-121.88925, 37.4346)
(-121.88951, 37.43454)
(-121.88997, 37.43443)
(-121.89112, 37.43417)
(-121.89127, 37.43413)
(-121.89224, 37.43391)
(-121.89261, 37.43382)
(-121.8928, 37.43377)
(-121.89339, 37.43364)
(-121.89425, 37.43346)
(-121.89625, 37.43302)
(-121.89651, 37.43296)
(-121.89663, 37.43293)
(-121.89718, 37.43281)
(-121.89768, 37.4327)
(-121.89786, 37.43266)
(-121.89803, 37.43262)
(-121.89824, 37.43258)
(-121.89843, 37.43254)
(-121.89849, 37.43253)
(-121.89858, 37.43251)
(-121.89868, 37.43249)
(-121.89911, 37.43243)
(-121.89951, 37.43238)
(-121.89968, 37.43238)
(-121.90011, 37.43234)
(-121.90073, 37.43227)
(-121.90253, 37.43207)
(-121.90276, 37.43205)
(-121.903, 37.43202)
